#,FIRST,LAST,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EF,,
137,Brandon,Ingram,79,28.8,9.4,3.5,8.7,40.2,0.7,2.4,29.4,1.7,2.7,62.1,0.8,3.2,4,2.1,0.6,0.5,1.5,8.9,,
138,Ish,Smith,81,24.1,9.4,4.1,9.2,43.9,0.3,1.3,26.7,0.9,1.3,70.6,0.3,2.6,2.9,5.2,0.8,0.4,1.4,11.6,,
139,Cory,Joseph,80,25,9.3,3.7,8.3,45.2,0.6,1.7,35.6,1.2,1.5,77,0.6,2.3,2.9,3.3,0.8,0.2,1.4,10.3,,
140,Jeff,Green,69,22.4,9.2,3.2,8.1,39.4,0.8,2.8,27.5,2.1,2.4,86.3,0.6,2.5,3.1,1.2,0.5,0.2,1.1,7.9,,
141,Gerald,Henderson,72,23.2,9.2,3.3,7.7,42.3,0.8,2.4,35.3,1.8,2.3,80.6,0.5,2.1,2.6,1.6,0.6,0.2,0.9,8.3,,
142,Marquese,Chriss,82,21.3,9.2,3.5,7.7,44.9,0.9,2.7,32.1,1.4,2.2,62.4,1.2,3.1,4.2,0.7,0.8,0.8,1.3,9.4,,
143,Michael,Kidd-Gilchrist,81,29,9.2,3.6,7.6,47.7,0,0.1,11.1,1.9,2.4,78.4,1.9,5,7,1.4,1,0.9,0.7,14.3,,
144,Joe,Johnson,78,23.6,9.2,3.5,8,43.6,1.4,3.3,41.1,0.8,1,81.8,0.4,2.7,3.1,1.8,0.5,0.2,0.9,9.2,,
145,Jameer,Nelson,75,27.3,9.2,3.6,8.1,44.4,1.4,3.6,38.8,0.6,0.8,71.4,0.4,2.2,2.6,5.1,0.7,0.1,1.7,11.3,,
146,Channing,Frye,74,18.9,9.1,3.2,7,45.8,1.9,4.5,40.9,0.9,1,85.1,0.5,3.4,3.9,0.6,0.5,0.5,0.7,9.9,,
147,Nene,67,17.9,9.1,3.7,5.9,61.7,0,0.1,33.3,1.7,2.9,58.9,1.4,2.8,4.2,1,0.8,0.6,1.1,11.1,,,
148,Montrezl,Harrell,58,18.3,9.1,3.9,5.9,65.2,0,0.1,14.3,1.3,2.1,62.8,1.4,2.4,3.8,1.1,0.3,0.7,0.8,11.4,,
