Description Words,Count,Description Bigrams,Count,Description Trigrams,Count,Objective Words,Count,Objective Bigrams,Count,Objective Trigrams,Count,Tag Words,Count,Tag Bigrams,Count,Tag Trigrams,Count,Everything Words,Count,Everything Bigrams,Count,Everything Trigrams,Count
teaching,171,"('learning', 'experience')",24,"('session', 'participants', 'learn')",4,Explore,125,"('learning', 'environment')",16,"('learn', 'best', 'practices')",5,career,34,"('project-based', 'learning')",13,"('education', 'online', 'education')",4,teaching,309,"('student', 'engagement')",42,"('We', ""'ll"", 'explore')",7
using,167,"('personalized', 'learning')",24,"('technology', 'engineering', 'math')",4,support,122,"('today', ""'s"")",16,"('schools', 'companies', 'teach/lead')",5,strategies,31,"('maker', 'education')",12,"('education', 'personalized', 'learning')",4,using,297,"('virtual', 'reality')",42,"('innovation', 'higher', 'education')",7
social,164,"('blended', 'learning')",24,"('prepare', 'students', 'college')",4,help,122,"('online', 'learning')",15,"('improve', 'student', 'outcomes')",5,coding,31,"('edtech', 'innovation')",12,"('learning', 'innovation', 'implementation')",4,online,287,"('student', 'data')",42,"('design', 'design', 'thinking')",7
need,162,"('teachers', 'students')",24,"('design', 'thinking', 'process')",4,through,122,"('lessons', 'learned')",15,"('innovative', 'practices', 'Participants')",5,teaching,30,"('special', 'education')",12,"('education', 'competency-based', 'education')",4,best,285,"('Participants', 'understand')",42,"('human', 'centered', 'design')",7
development,160,"('students', 'teachers')",23,"('support', 'personalized', 'learning')",4,able,120,"('student', 'engagement')",15,"('Participants', 'able', 'identify')",5,&,30,"('virtual', 'reality')",12,"('design', 'thinking', 'emerging')",4,innovation,279,"('help', 'students')",41,"('learning', 'Participants', 'learn')",7
own,160,"('panel', 'discuss')",23,"('collaborative', 'learning', 'experience')",4,social,117,"('students', 'learn')",15,"('development', 'offices', 'utilizing')",5,management,30,"('learning', 'innovation')",11,"('learning', 'game', 'design')",4,support,278,"('across', 'country')",41,"('learning', 'blended', 'learning')",7
content,156,"('help', 'students')",22,"('creativity', 'critical', 'thinking')",4,&,114,"('higher', 'ed')",15,"('best', 'practices', 'building')",5,blended,30,"('learning', 'student')",11,"('#', 'edtech', '#')",4,world,278,"('students', ""'"")",41,"('learning', 'experience', 'students')",7
support,154,"('computer', 'science')",22,"('bridge', 'gap', 'between')",4,more,108,"('learning', 'experience')",14,"('share', 'best', 'practices')",5,assessment,29,"('teacher', 'leadership')",11,"('higher', 'education', 'enrollment')",3,share,277,"('education', 'technology')",41,"('schools', 'across', 'country')",7
best,151,"('school', 'students')",22,"('tracking', 'brain', 'wave')",4,teaching,108,"('computer', 'science')",14,"('Participants', 'design', 'ready-to-use')",5,instructional,29,"('computer', 'science')",11,"('teacher', 'education', 'professional')",3,ways,277,"('students', 'learn')",40,"('thinking', 'problem', 'solving')",7
'',151,"('digital', 'learning')",22,"('inside', 'outside', 'classroom')",4,development,108,"('critical', 'thinking')",14,"('offices', 'utilizing', 'those')",5,video,28,"('educational', 'equity')",11,"('video', 'digital', 'content')",3,discuss,275,"('learning', 'experience')",39,"('students', 'college', 'career')",7
provide,150,"('students', ""'"")",22,"('Ready', 'implementation', 'summit')",4,resources,107,"('learning', 'opportunities')",14,"('companies', 'teach/lead', 'colleagues')",5,partnerships,27,"('achievement', 'gap')",11,"('higher', 'education', 'innovation')",3,higher,275,"('prepare', 'students')",39,"('learning', 'game', 'design')",7
-,148,"('real', 'world')",22,"('increase', 'student', 'engagement')",4,change,106,"('student', 'data')",13,"('prepared', 'return', 'schools')",5,diversity,27,"('teacher', 'collaboration')",10,"('analytics', 'engagement', 'motivation')",3,teacher,274,"('session', 'explore')",37,"('learning', 'competency-based', 'education')",7
STEM,146,"('higher', 'ed')",22,"('close', 'opportunity', 'gap')",4,impact,106,"('college', 'career')",13,"('practices', 'Participants', 'deepen')",5,skills,26,"('diversity', 'inclusion')",10,"('learning', 'maker', 'education')",3,change,274,"('based', 'learning')",36,"('tracking', 'brain', 'wave')",7
online,145,"('It', ""'s"")",21,"('learning', 'management', 'systems')",4,online,102,"('problem', 'solving')",13,"('ways', 'engage', 'students')",4,change,26,"('learning', 'design')",10,"('online', 'education', 'partnerships')",3,content,273,"('teachers', 'students')",35,"('such', 'iPad', '11')",6
resources,145,"('education', 'system')",21,"('level', 'playing', 'field')",4,develop,100,"('project-based', 'learning')",13,"('Gain', 'greater', 'understanding')",4,science,26,"('education', 'innovation')",10,"('project-based', 'learning', 'projects')",3,practices,273,"('We', ""'ll"")",33,"('attending', 'panel', 'teachers')",6
I,144,"('school', 'district')",19,"('student', 'data', 'privacy')",4,Identify,100,"('Learn', 'strategies')",13,"('learning', 'experience', 'students')",4,analytics,26,"('social', 'emotional')",9,"('#', 'innovation', '#')",3,thinking,271,"('around', 'world')",33,"('gap', 'between', 'college')",6
``,143,"('student', 'engagement')",19,"('school', 'district', 'leaders')",4,Discuss,100,"('student', 'outcomes')",13,"('implementing', 'blended', 'learning')",4,readiness,24,"('instructional', 'design')",9,"('professional', 'learning', 'communities')",3,resources,264,"('instructional', 'strategies')",32,"('education', 'design', 'thinking')",6
change,142,"('student', 'outcomes')",19,"('English', 'Language', 'Learners')",4,content,98,"('able', 'identify')",13,"('common', 'core', 'standards')",4,k-12,24,"('student', 'voice')",9,"('learning', 'student', 'engagement')",3,college,259,"('student', 'outcomes')",32,"('support', 'personalized', 'learning')",6
leaders,142,"('middle', 'school')",18,"('Independent', 'School', 'District')",4,'s,97,"('Gain', 'understanding')",12,"('21st', 'century', 'skill')",4,privacy,23,"('project', 'based')",9,"('storytelling', 'video', 'digital')",3,Understand,258,"('ed', 'tech')",32,"('eye', 'tracking', 'brain')",6
;,141,"('educators', 'students')",17,"('needs', 'every', 'child')",3,experience,97,"('educational', 'technology')",12,"('Share', 'best', 'practices')",4,storytelling,23,"('early', 'learning')",9,"('education', 'computer', 'science')",3,explore,254,"('educational', 'technology')",32,"('creativity', 'critical', 'thinking')",6
teacher,140,"('ed', 'tech')",17,"('assess', 'student', 'learning')",3,process,97,"('challenges', 'facing')",12,"('best', 'practices', 'creating')",4,gap,23,"('classroom', 'management')",9,"('tourism', 'travel', 'nonprofit')",3,challenges,252,"('project-based', 'learning')",32,"('You', ""'ll"", 'learn')",6
