Description Words,Count,Description Bigrams,Count,Description Trigrams,Count,Tag Words,Count,Tag Bigrams,Count,Tag Trigrams,Count,Everything Words,Count,Everything Bigrams,Count,Everything Trigrams,Count
resources,39,"('Bill', '&')",5,"('art', 'science', 'behind')",2,project,6,"('computer', 'science')",3,"('learning', 'classroom', 'application')",2,discussion,42,"('hands-on', 'workshop')",7,"('support', 'personalized', 'learning')",3
learners,39,"('attention', 'issues')",5,"('implementing', 'personalized', 'learning')",2,gap,6,"('credit', 'data')",3,"('21st', 'century', 'education')",2,online,42,"('community', 'college')",6,"('Chronicle', 'Higher', 'Education')",3
opportunities,39,"('case', 'studies')",5,"('Hosted', 'Google', 'Google')",2,voice,6,"('teacher', 'education')",3,"('digital', 'media', 'curriculum')",2,science,41,"('learning', 'innovation')",6,"('continue', 'next', 'workshops')",3
program,39,"('share', 'experiences')",5,"('student', 'learning', 'session')",2,century,6,"('leadership', 'entrepreneurship')",3,"('higher', 'education', 'students')",2,impact,41,"('attention', 'issues')",6,"('blended', 'learning', 'personalized')",3
teacher,37,"('real', 'world')",5,"('computer', 'science', 'engineering')",2,k12,6,"('&', 'learning')",3,"('innovation', 'implementation', 'pbl')",2,innovative,41,"('learning', 'experience')",6,"('Teacher', 'Lesson', 'Study')",3
kids,36,"('whole', 'child')",5,"('public', 'school', 'district')",2,teaching,5,"('civitas', 'learning')",3,"('cpe', 'credit', 'music')",2,leaders,41,"('learning', 'analytics')",6,"('own', 'specific', 'plan')",3
STEM,36,"('learn', 'others')",5,"('iPASS', 'integrated', 'planning')",2,access,5,"('edtech', 'entrepreneurship')",3,"('training', 'professional', 'development')",2,support,40,"('credit', 'higher')",6,"('bridge', 'gap', 'between')",3
using,36,"('students', 'learn')",5,"('outcomes', 'low-income', 'students')",2,marketing,5,"('k12', 'education')",3,"('edtech', 'cpe', 'credit')",2,engage,40,"('panel', 'discuss')",6,"('makers', 'cpe', 'credit')",3
focus,36,"('K-12', 'education')",5,"('learning', 'through', 'making')",2,curriculum,5,"('learning', 'summit')",3,"('sel', 'cpe', 'credit')",2,resources,40,"('credit', 'student')",6,"('Leave', 'own', 'specific')",3
'',35,"('it', ""'s"")",5,"('student', 'success', 'initiative')",2,policy,5,"('learning', 'personalized')",3,"('cpe', 'credit', 'game-based')",2,ideas,39,"('students', ""'"")",6,"('cpe', 'credit', 'college')",3
``,35,"('community', 'members')",5,"('plans', 'drive', 'more')",2,literacy,5,"('education', 'learning')",3,"('cpe', 'credit', 'virtual')",2,global,39,"('project', 'based')",6,"('Every', 'Student', 'Succeeds')",3
social,35,"('every', 'child')",5,"('teaching', 'learning', 'Learn')",2,equality,5,"('problem', 'solving')",3,"('entrepreneurship', 'cpe', 'credit')",2,learners,39,"('education', 'system')",6,"('virtual', 'reality', 'learning')",3
different,35,"('&', 'Melinda')",5,"('personalized', 'learning', 'means')",2,content,5,"('analytics', 'civitas')",3,"('higher', 'education', 'cpe')",2,opportunities,39,"('virtual', 'exchange')",6,"('college', 'career', 'readiness')",3
solutions,35,"('panel', 'discussion')",5,"('several', 'institutions', 'implement')",2,future,5,"('credit', 'blended')",3,"('education', 'competency-based', 'education')",2,program,39,"('session', 'explore')",6,"('cpe', 'credit', 'blended')",3
creating,35,"('special', 'education')",5,"('STEM', 'role', 'models')",2,video,5,"('education', 'innovation')",3,"('learning', 'project', 'based')",2,kids,37,"('social', 'emotional')",6,"('summit', 'and/or', 'continue')",3
Learning,34,"('Common', 'Core')",5,"('teacher', 'organizational', 'context')",2,game-based,5,"('social', 'media')",3,"('college', 'cpe', 'credit')",2,content,37,"('career', 'readiness')",6,"('and/or', 'continue', 'share')",3
interactive,34,"('middle', 'school')",5,"('Gates', 'Foundation', 'Bill')",2,games,5,"('credit', 'improv')",3,"('cpe', 'credit', 'cpe')",2,interactive,37,"('learning', 'science')",6,"('real', 'life', 'experiences')",3
